"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"11/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"5.514.952,86";"6.608.805,99";"50.897.404,62";"7.088.990,29";
"09/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"40.046.282,61";"85.535.287,63";"74.169.238,81";"64.147.813,06";
"07/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"48.656.874,01";"66.102.891,41";"86.321.191,03";"26.846.277,71";
"06/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"144.719.467,72";"79.301.494,07";"57.718.166,31";"99.829.721,04";
"03/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"59.771.440,43";"54.716.199,17";"57.188.433,07";"42.137.162,46";
"05/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"124.427.846,36";"59.551.673,06";"62.567.791,93";"33.216.214,08";
"10/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"52.168.335,58";"68.130.849,34";"66.904.094,02";"28.321.671,45";
"04/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"73.262.829,61";"55.973.218,49";"52.539.424,62";"22.642.256,33";
"01/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"49.973.374,73";"49.356.697,72";"5.792.782,38";"55.118.992,58";
"08/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"57.858.849,50";"64.766.971,75";"62.829.398,39";"26.277.786,24";
"02/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"60.813.475,66";"55.590.153,87";"50.191.194,27";"38.870.332,46";
"11/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"3.083.660,04";"4.117.754,67";"25.963.920,81";"276.879,46";
"07/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"48.114.843,33";"44.511.099,85";"46.663.521,92";"3.990.217,43";
"01/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"253.168.105,24";"32.481.398,40";"3.031.808,13";"25.622.158,22";
"04/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"21.723.012,74";"41.546.644,73";"45.196.558,08";"1.982.819,82";
"10/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"11.544.237,40";"36.561.183,56";"34.358.507,00";"1.616.429,37";
"06/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"21.025.559,38";"41.821.178,96";"41.668.529,97";"1.014.127,46";
"02/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"27.636.542,41";"44.037.464,16";"44.285.534,52";"4.749.234,79";
"05/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"19.022.601,75";"43.601.731,19";"43.017.751,35";"1.985.302,53";
"08/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"1.964.413,82";"44.055.064,94";"44.027.678,07";"3.277.808,36";
"09/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"28.474.533,62";"41.942.982,55";"43.960.375,79";"2.237.386,17";
"03/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"75.415.291,05";"36.017.741,43";"44.004.175,98";"747.675,28";
"06/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"17.935.936,78";"317.980.761,51";"275.093.704,96";"16.190.233,46";
"03/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"16.127.254,84";"260.098.423,85";"249.541.599,02";"33.691.464,56";
"08/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"26.951.260,10";"270.523.220,53";"252.100.234,89";"17.464.618,05";
"11/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"4.755.411,68";"- 36.165.078,64";"171.595.914,89";"1.440.483,32";
"10/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"17.454.345,72";"275.953.497,87";"263.514.356,99";"4.690.938,55";
"07/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"5.532.663,16";"239.585.656,34";"308.048.563,40";"21.914.276,18";
"02/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"6.005.521,67";"245.420.456,21";"226.983.310,99";"21.015.471,18";
"05/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"102.132.912,42";"273.974.501,13";"265.969.869,90";"18.726.653,45";
"09/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"20.963.990,59";"263.184.538,85";"273.096.128,86";"12.029.655,76";
"04/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"50.756.470,50";"257.571.204,62";"289.782.811,03";"51.489.562,67";
"01/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"3.105.539.344,85";"251.808.532,99";"27.355.178,36";"226.790.176,96";
"02/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"161.844.576,99";"503.738.164,72";"487.288.832,82";"145.923.028,40";
"09/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"295.062.990,35";"655.767.648,81";"645.609.548,58";"18.733.613,80";
"05/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"242.350.838,86";"675.618.404,06";"653.056.649,31";"54.664.306,26";
"11/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"66.705.290,50";"79.481.408,44";"373.174.966,45";"3.065.860,79";
"10/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"176.800.561,34";"552.759.347,53";"647.290.424,32";"20.188.860,66";
"01/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"5.557.029.258,34";"366.609.084,93";"76.827.882,66";"586.269.647,52";
"08/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"240.205.173,34";"652.743.969,11";"669.360.178,08";"26.566.966,74";
"03/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"252.974.344,85";"589.794.997,00";"570.958.062,81";"98.703.235,03";
"06/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"270.097.496,24";"772.016.217,12";"637.924.457,61";"44.801.372,50";
"04/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"307.214.585,63";"603.592.939,07";"586.951.512,31";"48.652.866,26";
"07/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"242.260.827,73";"584.673.960,50";"798.755.925,84";"23.793.731,08";
"08/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"930.560,82";"8.182.951,61";"8.049.872,08";"5.177,46";
"09/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"440.420,23";"9.024.108,18";"9.518.406,23";"11.822,54";
"07/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"1.724.110,90";"9.584.967,29";"11.034.020,62";"531.901,20";
"04/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"17.215.606,49";"6.746.399,99";"8.279.986,78";"1.316.205,19";
"06/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"- 140.431,83";"12.593.678,91";"8.219.639,07";"754.136,23";
"01/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"102.364.643,77";"7.239.461,79";"995.167,78";"6.201.074,63";
"03/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"19.945,98";"8.036.664,55";"8.139.010,83";"1.366.847,80";
"10/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"373.585,49";"8.464.848,87";"9.125.384,73";"622.151,82";
"11/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"365.880,20";"986.871,55";"5.063.016,35";"0,00";
"02/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"- 5.816.041,26";"8.740.348,90";"7.702.782,49";"2.553.247,11";
"05/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"521.269,71";"8.409.718,71";"8.323.176,02";"162.734,79";
"10/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"0,00";"- 140,80";"1.482.991,41";"0,00";
"03/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"1.326.567,07";"4.270.281,41";"4.092.611,53";"7.618.034,43";
"01/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"42.877.381,64";"2.664.839,03";"425.410,25";"3.279.704,12";
"04/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"32.983.582,20";"4.207.721,57";"4.290.433,64";"1.741.229,67";
"02/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"- 2.757.183,72";"3.528.623,98";"3.307.656,37";"705.227,02";
"05/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"3.354.554,51";"5.864.677,94";"5.603.535,88";"1.283.285,70";
"07/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"5.272.609,03";"5.548.741,75";"6.454.592,37";"3.917.893,14";
"08/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"8.664,27";"9.240.029,35";"7.811.913,44";"618.168,86";
"09/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"4.213.594,21";"9.015.355,46";"11.001.273,39";"1.315.841,08";
"06/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"596.214,30";"6.040.522,20";"5.685.345,95";"902.286,11";
"08/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"27.124.142,82";"24.898.317,03";"27.493.006,15";"2.592.625,19";
"04/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"25.208.541,57";"21.905.509,76";"21.291.471,46";"5.708.945,48";
"01/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"16.266.086,04";"14.997.848,14";"4.778.114,48";"15.074.537,60";
"09/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"32.563.147,43";"29.149.159,95";"28.313.807,97";"771.820,45";
"06/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"28.915.215,08";"28.643.997,32";"25.861.016,28";"1.657.919,83";
"02/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"16.685.280,86";"15.762.967,96";"15.434.912,30";"8.661.988,54";
"03/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"20.337.479,01";"21.154.838,78";"16.461.660,41";"7.229.015,98";
"05/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"23.681.429,77";"25.150.619,71";"24.377.674,88";"2.634.952,07";
"07/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"23.730.662,30";"25.516.723,11";"25.050.878,98";"842.435,23";
"11/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"1.905.922,72";"1.002.014,10";"11.753.913,45";"77.352,91";
"10/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"27.158.466,99";"32.862.663,13";"34.704.797,04";"627.681,68";
"06/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"71.774,55";"71.774,55";"71.774,55";"0,00";
"02/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"45.168,99";"45.168,99";"45.168,99";"0,00";
"09/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"396.401,03";"396.401,03";"396.401,03";"0,00";
"05/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"26.698,74";"26.698,74";"26.698,74";"0,00";
"08/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"286.398,11";"286.398,11";"286.398,11";"0,00";
"03/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"39.845,48";"39.845,48";"39.845,48";"0,00";
"04/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"27.578,47";"27.578,47";"27.578,47";"0,00";
"07/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"135.348,74";"135.348,74";"135.348,74";"0,00";
"10/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"18.805,13";"18.805,13";"18.805,13";"0,00";
"10/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"338.282,00";"988.699,80";"953.990,67";"0,00";
"05/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"31.866,50";"1.018.666,91";"1.018.050,85";"11.243,00";
"06/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"2.995.372,43";"1.051.241,19";"924.848,34";"0,00";
"11/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"1.650,00";"72.993,03";"486.233,51";"0,00";
"08/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"- 105.795,56";"917.406,84";"890.517,31";"0,00";
"09/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"11.394,92";"1.468.122,69";"1.478.383,49";"35,70";
"02/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"- 1.274.457,55";"825.512,24";"829.376,27";"3.155,00";
"01/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"9.791.574,05";"599.997,51";"193.821,80";"630.896,20";
"04/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"946.000,00";"969.561,10";"1.003.446,61";"0,00";
"03/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"54.181,83";"917.213,63";"876.922,05";"25.891,81";
"07/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"18.714,08";"986.809,63";"1.127.401,73";"0,00";
"11/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"85.096,67";"544.972,42";"4.698.477,72";"225.256,61";
"06/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"2.856.660,32";"10.326.431,34";"8.373.862,96";"177.218,80";
"01/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"73.372.467,04";"5.451.977,54";"1.284.557,69";"5.181.158,67";
"03/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"427.689,91";"6.823.301,37";"6.880.146,84";"840.781,87";
"10/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"1.518.777,43";"7.730.249,30";"7.650.708,54";"42.484,12";
"07/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"250.916,85";"7.730.823,85";"9.662.672,43";"138.346,82";
"04/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"21.717.786,87";"8.223.394,59";"8.266.540,41";"332.941,65";
"05/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"- 1.035.078,30";"7.287.651,95";"7.223.756,10";"714.545,58";
"02/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"2.295.907,84";"6.840.862,06";"6.816.369,14";"538.282,91";
"09/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"285.635,33";"7.879.479,27";"7.863.345,40";"180.929,05";
"08/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"35.712,66";"7.793.840,86";"7.840.452,45";"443.643,98";
"02/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"- 73.995,47";"3.138.860,44";"3.162.245,74";"120.623,71";
"05/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"966.194,37";"3.430.318,07";"3.483.681,33";"36.662,37";
"06/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"1.415.256,97";"4.683.476,87";"3.603.004,89";"248.885,00";
"04/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"954.106,76";"3.511.308,44";"3.488.792,49";"2.400,29";
"10/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"263.313,89";"3.377.641,44";"3.331.389,15";"70.966,55";
"11/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"54.241,43";"213.919,08";"2.364.328,50";"2.032,23";
"08/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"- 115.506,35";"3.427.839,42";"3.440.797,86";"0,00";
"01/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"40.441.011,17";"3.091.074,34";"887.516,43";"2.805.018,35";
"07/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"773.346,68";"3.497.273,44";"4.569.599,57";"56.620,60";
"03/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"1.048.235,00";"3.608.497,77";"3.624.947,42";"72.699,00";
"09/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"628.628,59";"3.412.428,30";"3.436.334,23";"206,00";
"01/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"205.319.386,51";"116.952.020,77";"2.828.759,50";"44.593.745,11";
"10/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"- 16.839.217,82";"219.689.016,26";"230.449.638,70";"4.955.523,79";
"03/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"123.614.819,32";"200.537.912,66";"200.485.187,72";"19.026.538,41";
"07/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"87.361.995,93";"258.792.729,67";"223.908.651,41";"2.337.999,08";
"04/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"2.445.983.085,72";"245.444.234,75";"243.988.786,57";"8.543.483,58";
"05/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"- 84.795.376,00";"457.859.632,50";"425.257.505,59";"19.286.880,67";
"06/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"15.574.614,47";"384.033.271,98";"282.106.512,83";"15.118.289,79";
"11/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"142.362.272,60";"62.587.509,90";"217.315.876,09";"2.142.137,15";
"08/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"136.043.732,41";"289.675.695,37";"297.963.393,44";"4.035.359,27";
"09/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"- 76.590.444,45";"267.420.694,86";"269.516.397,39";"9.457.770,84";
"02/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"283.791.233,05";"66.357.318,57";"175.383.841,43";"82.825.674,13";
"09/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"265.006,06";"1.391.570,42";"1.405.237,39";"150.000,00";
"04/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"528.134,33";"1.199.767,14";"1.264.274,54";"1.925.070,00";
"03/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"391.408,27";"1.278.029,42";"1.210.392,70";"337.301,80";
"07/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"3.039.771,04";"1.171.639,46";"1.401.281,61";"84.737,32";
"10/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"230.487,40";"1.141.068,04";"1.165.034,12";"68.579,64";
"01/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"8.457.986,77";"722.412,05";"238.066,81";"1.437.225,13";
"11/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"1.698.118,80";"162.124,00";"595.753,09";"0,00";
"06/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"572.857,01";"1.245.466,33";"1.053.486,60";"974.454,96";
"08/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"131.356,72";"1.352.834,35";"1.330.982,18";"348,00";
"05/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"3.873.169,03";"1.354.320,75";"1.349.821,79";"104.385,98";
"02/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"1.124.313,19";"988.108,69";"985.744,37";"73.897,03";
"02/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"796.151,13";"3.861.147,07";"3.851.898,19";"2.329.363,36";
"10/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"3.892.774,58";"7.754.662,51";"7.758.309,58";"442.929,82";
"01/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"47.026.158,26";"3.794.464,72";"971.633,40";"5.367.435,68";
"04/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"2.481.466,14";"4.265.783,02";"4.363.943,80";"1.525.845,29";
"08/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"4.564.494,39";"5.925.904,24";"5.895.585,04";"444.264,25";
"11/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"181.301,74";"1.003.495,15";"3.752.190,97";"182.658,58";
"09/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"3.674.702,93";"5.944.621,35";"5.889.171,66";"2.311.064,57";
"06/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"2.585.692,69";"5.645.840,08";"4.882.144,62";"2.697.641,97";
"03/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"1.827.983,91";"4.074.262,03";"4.048.583,78";"3.084.292,30";
"05/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"4.357.093,38";"5.146.814,47";"4.872.518,62";"2.744.290,65";
"07/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"2.583.541,54";"5.505.559,64";"6.540.493,56";"2.699.769,09";
"06/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"46.355.250,09";"361.201.038,45";"230.025.839,21";"9.399.410,91";
"04/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"551.417.372,94";"211.826.202,47";"211.950.818,81";"13.454.058,67";
"03/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"249.267.306,30";"193.225.701,79";"195.029.725,91";"7.360.823,43";
"02/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"28.367.168,30";"190.701.001,96";"186.683.183,54";"6.512.393,29";
"08/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"196.661.087,91";"334.920.841,73";"338.923.260,30";"6.324.392,49";
"10/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"377.828.219,38";"406.911.145,28";"436.594.179,76";"577.317,67";
"07/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"162.759.247,85";"274.650.934,10";"344.745.307,04";"986.721,46";
"09/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"192.080.004,25";"433.809.472,59";"448.093.949,12";"476.396,90";
"11/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"6.283.794,62";"89.381.493,13";"296.750.448,91";"280.297,83";
"01/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"429.365.736,96";"181.697.401,85";"38.858.804,97";"164.962.642,44";
"05/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"1.854.595.904,72";"204.061.343,97";"198.456.283,42";"5.261.353,16";
"07/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"254.439,25";"10.330.130,00";"13.349.369,84";"24.708,42";
"01/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"110.033.735,90";"8.106.466,93";"2.216.630,05";"8.337.857,53";
"10/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"2.996.109,62";"10.403.058,72";"10.194.668,14";"103.552,95";
"04/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"17.984.534,29";"9.609.537,99";"9.261.577,91";"249.467,85";
"09/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"671.128,62";"10.516.610,18";"10.001.743,70";"85.265,53";
